"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"365","TUMWESIGYE LABAN","2018-07-22 07:22:31.000",3,58,9,63,305809063,"2018-07-24 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"366","TUMWESIGYE LABAN","2018-07-22 07:46:37.000",3,57,9,96,305709096,"2018-07-26 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"367","TUMWESIGYE LABAN","2018-07-24 08:41:40.000",3,57,10,37,305710037,"2018-07-20 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"368","TUMWESIGYE LABAN","2018-07-26 09:37:18.000",3,58,1,71,305801071,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"369","TUMWESIGYE LABAN","2018-07-20 08:35:49.000",3,58,2,24,305802024,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"370","TUMWESIGYE LABAN","2018-07-23 07:58:24.000",3,58,3,56,305803056,"2018-07-25 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"371","TUMWESIGYE LABAN","2018-07-23 08:51:15.000",3,58,4,2,305804002,"2018-07-26 00:00:00.000","Yes","-9","-9","No","Yes","8-9pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,0,0,0,0,0,0,0
"372","TUMWESIGYE LABAN","2018-07-25 09:25:39.000",3,58,5,8,305805008,"2018-07-23 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"373","TUMWESGYE LABAN","2018-07-26 08:12:44.000",3,58,6,61,305806061,"2018-07-26 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"374","TUMWESIGYE LABAN","2018-07-23 07:26:30.000",3,58,7,30,305807030,"2018-07-25 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"375","TUMWESIGYE LABAN","2018-07-26 09:07:12.000",3,58,8,144,305808144,"2018-07-24 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"376","TUMWESIGYE LABAN","2018-07-25 08:35:36.000",3,58,10,71,305810071,"2018-07-26 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"377","TUMWESIGYE LABN","2018-07-24 07:36:25.000",3,59,1,4,305901004,"2018-07-29 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,1,0,0,0,0,0,0,0
"378","TUMWESIGYE LABN","2018-07-26 07:38:31.000",3,59,2,102,305902102,"2018-07-27 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
