X,Y,id,hhid3,area,perimeter,Net_main,net_pbo,dname2019,ADM4_EN
29.6377292711622,-1.32036862681459,456,5904,0.000006,0.009957,2,2,KISORO,Muramba
29.6177776611865,-1.34838676820075,457,5903,0.000023,0.019746,2,2,KISORO,Muramba
29.608567446181,-1.31039772241048,458,5902,0.000008,0.011580,2,2,KISORO,Muramba
29.8153690875856,-1.32307174480467,475,5705,0.000008,0.010738,1,1,KISORO,Murora
29.7620414469292,-1.32986692609916,476,5704,0.000015,0.015493,1,1,KISORO,Murora
29.6324957172686,-1.13243830883521,463,5807,0.000052,0.036405,3,1,KISORO,Nyabwishenya
29.5911188337811,-1.06626567776928,464,5806,0.000045,0.025816,3,1,KISORO,Nyabwishenya
29.7425753019829,-1.26951672873546,472,5708,0.000050,0.036693,1,1,KISORO,Nyakabande
29.7295414966595,-1.28218213453289,473,5707,0.000002,0.008296,1,1,KISORO,Nyakabande
29.7200840194495,-1.26239927051667,474,5706,0.000003,0.007743,1,1,KISORO,Nyakabande
29.6539045690379,-1.27841749806181,454,5906,0.000022,0.018236,2,2,KISORO,Nyakinama
29.6635214030718,-1.26571750759819,455,5905,0.000014,0.015196,2,2,KISORO,Nyakinama
29.646243760048,-1.26086590058317,461,5809,0.000020,0.018764,3,1,KISORO,Nyarubuye
29.6149136429697,-1.22384193537027,462,5808,0.000049,0.032339,3,1,KISORO,Nyarubuye
29.6918367135953,-1.30186928291056,452,5908,0.000018,0.016957,2,2,KISORO,Nyarusiza
29.683906608384,-1.34495011070035,453,5907,0.000008,0.012449,2,2,KISORO,Nyarusiza
29.7030419113597,-1.16158233748502,470,5710,0.000168,0.051785,1,1,KISORO,Nyundo
29.7345067814716,-1.21204331798692,471,5709,0.000069,0.035173,1,1,KISORO,Nyundo
29.8402906620613,-1.17365830074564,400,6410,0.000015,0.015592,2,2,RUBANDA,Rubanda Town Council
29.8334838736096,-1.1723708484819,401,6409,0.000016,0.016493,2,2,RUBANDA,Rubanda Town Council
29.8376541682716,-1.13644458229387,402,6408,0.000025,0.021038,2,2,RUBANDA,Rubanda Town Council
29.6531954044736,-1.11144432818372,460,5810,0.000050,0.043378,3,1,KISORO,Rubuguri Town Council
29.6805044701299,-1.12716636654185,466,5804,0.000015,0.018033,3,1,KISORO,Rubuguri Town Council
29.6543939731556,-1.12040827930988,467,5803,0.000037,0.029589,3,1,KISORO,Rubuguri Town Council
29.8096157336227,-1.04718594959004,403,6407,0.000016,0.017324,2,2,RUBANDA,Ruhija
29.6891815922151,-1.29251997684657,450,5910,0.000009,0.011710,2,2,KISORO,Southern
33.1838318884041,0.816934581122069,290,7510,0.000044,0.033339,2,2,KAMULI,Bugulumbya
33.3376172838857,0.837394225076488,207,8403,0.000087,0.044115,1,1,LUUKA,Bukooma
33.3329452361896,0.877910919879459,208,8402,0.000028,0.031768,1,1,LUUKA,Bukooma
33.3772648208791,0.785201106779388,206,8404,0.000087,0.042265,1,1,LUUKA,Bulongo
33.2515893161677,0.814153838252207,298,7502,0.000028,0.023619,2,2,KAMULI,Bulopa
33.269352468929,0.749088709069743,203,8407,0.000082,0.039243,1,1,LUUKA,Irongo
33.0661736350133,0.73579566079375,289,7601,0.000028,0.046134,2,2,KAMULI,Kisozi
33.1899644125523,0.911519496517478,295,7505,0.000023,0.019113,2,2,KAMULI,Kitayunjwa
33.1621441725816,0.860335846435017,296,7504,0.000041,0.030539,2,2,KAMULI,Kitayunjwa
33.0413235889813,0.842198677436651,287,7603,0.000044,0.033809,2,2,KAMULI,Mbulamuti
33.149756990307,0.73552917739201,286,7604,0.000030,0.026363,2,2,KAMULI,Nawanyago
31.4631652541704,1.73554477060878,1009,401,0.000060,0.030583,4,2,BULIISA,Biiso
31.4937105838958,1.58859004779135,825,2205,0.000011,0.013433,1,1,MASINDI,Budongo
31.5050804807514,1.67221418341651,826,2204,0.000047,0.028610,1,1,MASINDI,Budongo
31.5403699610655,1.58760455362355,827,2203,0.000051,0.029400,1,1,MASINDI,Budongo
31.5848881510085,1.65356514547595,828,2202,0.000006,0.011480,1,1,MASINDI,Budongo
31.5826697161998,1.64865479740632,829,2201,0.000001,0.005540,1,1,MASINDI,Budongo
31.2647904619708,1.44011121570794,739,3101,0.000041,0.029917,1,1,KIKUUBE,Bugambe
31.4289860202501,1.3578005826848,749,3001,0.000097,0.041945,2,2,HOIMA,Buhanika
31.2957458736498,1.24095551395363,737,3103,0.000125,0.044076,1,1,KIKUUBE,Buhimba
31.3016799138926,1.35130909422014,738,3102,0.000064,0.032703,1,1,KIKUUBE,Buhimba Town Council
31.3416160699119,1.46369276670699,728,3202,0.000036,0.026522,1,1,HOIMA,Bujumbura Division
31.3529811925852,1.43984136927768,729,3201,0.000015,0.017858,1,1,HOIMA,Bujumbura Division
31.2804564561799,1.4068255023268,726,3204,0.000170,0.051348,1,1,HOIMA,Busiisi Division
31.3201103713951,1.46773562838236,727,3203,0.000117,0.045579,1,1,HOIMA,Busiisi Division
31.381062713045,1.83812849471569,1004,406,0.000015,0.015881,4,2,BULIISA,Butiaba
31.3227333290104,1.81699823886847,1005,405,0.000004,0.009701,4,2,BULIISA,Butiaba
31.3343193193588,1.81616247461207,1006,404,0.000002,0.011899,4,2,BULIISA,Butiaba
31.6913150028467,1.6191555263761,820,2210,0.000060,0.033728,1,1,MASINDI,Bwijanga
31.6738166666667,1.438089,821,2209,0.000134,0.061393,1,1,MASINDI,Bwijanga
31.6931465382756,1.47844893913291,822,2208,0.000125,0.056719,1,1,MASINDI,Bwijanga
31.6231897465653,1.54805128131069,823,2207,0.000118,0.044483,1,1,MASINDI,Bwijanga
31.6414194641526,1.56774597943063,824,2206,0.000023,0.023142,1,1,MASINDI,Bwijanga
31.0044173510776,1.24175277174418,735,3105,0.000005,0.009071,1,1,KIKUUBE,Kabwoya
31.1249655482067,1.21321873149863,736,3104,0.000228,0.065510,1,1,KIKUUBE,Kabwoya
31.3704370809901,1.41936769510316,721,3209,0.000012,0.013894,1,1,HOIMA,Kahoora Divison
31.3483764487583,1.43635085614948,723,3207,0.000004,0.009613,2,2,HOIMA,Kahoora Divison
31.3516689163391,1.40691603554894,724,3206,0.000006,0.010948,1,1,HOIMA,Kahoora Divison
31.3533262990967,1.43412896259475,725,3205,0.000001,0.004025,1,1,HOIMA,Kahoora Divison
31.6669892434543,1.72739951941692,806,2404,0.000040,0.035664,1,1,MASINDI,Karujubu Division
31.7258848309978,1.72101580736088,807,2403,0.000071,0.036065,1,1,MASINDI,Karujubu Division
31.6224679847376,1.66614475359824,808,2402,0.000008,0.013473,1,1,MASINDI,Karujubu Division
